"","SrcID_Feat","unit","mean_dist"
"84",1598,14,992.4429016115
"85",3827,14,553.33197055773
"86",3839,14,737.960632324171
"87",3843,14,537.108686776
"88",4879,14,703.13846008296
"89",4880,14,899.196299235
"90",4900,14,873.844352213467
"91",4913,14,927.175964355417
"92",4914,14,903.835130479556
"93",637,15,859.325160435214
"94",3827,15,779.659968195676
"95",3839,15,845.569280256263
"96",3843,15,620.77716674802
"97",4879,15,430.706193866167
"98",4880,15,856.03871765135
"99",4898,15,848.14458465575
"100",4899,15,690.217323303083
"101",4900,15,552.043736436622
"102",1983,16,482.968502468556
"103",2057,16,970.634663899667
"104",2280,16,842.238690185467
"105",2282,16,1000
"106",2283,16,893.119368119636
"107",2308,16,545.175166468452
"108",2309,16,843.958126292471
"109",2310,16,526.733301499314
"110",2351,16,749.16654911737
"111",2352,16,911.155752328769
"112",2353,16,594.031810760437
"113",2430,16,580.454604576379
"114",2502,16,877.018563406786
"115",2685,16,879.237187312077
"116",3637,16,520.346890325152
"117",4854,16,806.804260253833
"118",2318,17,992.4429016115
"119",2319,17,744.256683349537
"120",2351,17,832.123497596077
"121",2352,17,544.180227749565
"122",2353,17,569.1479690552
"123",2354,17,521.90123824
"124",2355,17,944.320821126333
"125",2430,17,797.290032280667
"126",2685,17,927.175964355417
"127",3637,17,907.885402134429
"128",3839,17,929.323160807333
"129",3879,17,936.069381713875
"130",4854,17,940.2655181885
"131",637,18,948.212733677286
"132",3827,18,685.381547176455
"133",3839,18,820.890108842115
"134",3843,18,533.651084899862
"135",4879,18,513.306085066348
"136",4880,18,849.05466003415
"137",4898,18,929.323160807333
"138",4899,18,859.723317464167
"139",4900,18,718.980176094205
"140",637,19,743.030306861429
"141",3827,19,935.179504394667
"142",3839,19,727.102682277129
"143",3843,19,847.783727472409
"144",4879,19,563.056114689
"145",4880,19,902.017626081143
"146",4898,19,661.461281959
"147",4899,19,591.35549972997
"148",4900,19,583.506856960667
"149",2318,20,883.218242444421
"150",3839,20,640.710264144381
"151",4879,20,992.4429016115
"152",4898,20,790.140779767671
"153",4899,20,488.373140970867
"154",4900,20,878.925864479727
"155",1983,21,691.044816758778
"156",2308,21,888.653911884077
"157",2310,21,854.5433013915
"158",2319,21,915.425973074714
"159",2351,21,550.947955096222
"160",2352,21,722.241024514848
"161",2353,21,463.283627404028
"162",2354,21,888.653911884077
"163",2430,21,485.445036533971
"164",2502,21,868.373386383
"165",2685,21,604.138211931429
"166",3637,21,568.699934387225
"167",3879,21,937.637595436727
"168",1601,22,591.614719173764
"169",3854,22,686.749259387721
"170",4864,22,815.84255583387
"171",4865,22,783.590353829429
"172",1985,23,654.1697868652
"173",2007,23,590.402693899053
"174",3826,23,767.562297775036
"175",3848,23,666.880366469879
"176",22,24,797.611178311364
"177",23,24,150
"178",24,24,427.117834652176
"179",25,24,605.969777990259
"180",26,24,815.057087559806
"181",3410,24,813.335361789973
"182",22,25,797.611178311364
"183",23,25,150
"184",24,25,427.117834652176
